Episode,Avg Reward,Steps,Total Reward
567,-0.927689594356261,35,-526
568,-0.9278169014084507,53,-527
569,-0.9279437609841827,20,-528
570,-0.9280701754385965,49,-529
571,-0.9264448336252189,100,-529
572,-0.9265734265734266,17,-530
573,-0.9267015706806283,88,-531
574,-0.9250871080139372,100,-531
575,-0.9252173913043479,75,-532
576,-0.9236111111111112,100,-532
577,-0.9237435008665511,33,-533
578,-0.9238754325259516,5,-534
579,-0.924006908462867,65,-535
580,-0.9241379310344827,40,-536
581,-0.9242685025817556,1,-537
582,-0.9226804123711341,100,-537
583,-0.9210977701543739,100,-537
584,-0.9212328767123288,61,-538
585,-0.9213675213675213,25,-539
586,-0.9197952218430034,100,-539
587,-0.9182282793867121,100,-539
588,-0.9166666666666666,100,-539
589,-0.9151103565365025,100,-539
590,-0.9152542372881356,17,-540
591,-0.9153976311336718,95,-541
592,-0.9155405405405406,78,-542
593,-0.9156829679595279,52,-543
594,-0.9158249158249159,48,-544
595,-0.9159663865546218,44,-545
596,-0.9161073825503355,9,-546
597,-0.916247906197655,65,-547
598,-0.9163879598662207,98,-548
599,-0.9165275459098498,62,-549
600,-0.9166666666666666,21,-550
601,-0.9168053244592346,97,-551
602,-0.915282392026578,100,-551
603,-0.9154228855721394,35,-552
604,-0.9139072847682119,100,-552
605,-0.9140495867768595,22,-553
606,-0.9141914191419142,3,-554
607,-0.9126853377265239,100,-554
608,-0.912828947368421,39,-555
609,-0.9113300492610837,100,-555
610,-0.9098360655737705,100,-555
611,-0.9099836333878887,67,-556
612,-0.9084967320261438,100,-556
613,-0.9070146818923328,100,-556
614,-0.9071661237785016,30,-557
615,-0.9056910569105691,100,-557
616,-0.9058441558441559,17,-558
617,-0.9059967585089141,93,-559
618,-0.9061488673139159,51,-560
619,-0.9063004846526656,27,-561
620,-0.9048387096774193,100,-561
621,-0.9033816425120773,100,-561
622,-0.9019292604501608,100,-561
623,-0.9004815409309791,100,-561
624,-0.8990384615384616,100,-561
625,-0.8976,100,-561
626,-0.8961661341853036,100,-561
627,-0.8947368421052632,100,-561
628,-0.893312101910828,100,-561
629,-0.8918918918918919,100,-561
630,-0.8920634920634921,69,-562
631,-0.8922345483359746,99,-563
632,-0.8924050632911392,25,-564
633,-0.8925750394944708,84,-565
634,-0.8911671924290221,100,-565
635,-0.8913385826771654,50,-566
636,-0.8915094339622641,41,-567
637,-0.8901098901098901,100,-567
638,-0.890282131661442,1,-568
639,-0.8888888888888888,100,-568
640,-0.8890625,23,-569
641,-0.8892355694227769,58,-570
642,-0.8894080996884736,39,-571
643,-0.8880248833592534,100,-571
644,-0.8866459627329193,100,-571
645,-0.8868217054263566,65,-572
646,-0.8869969040247678,43,-573
647,-0.8856259659969088,100,-573
648,-0.8858024691358025,84,-574
649,-0.8859784283513097,3,-575
650,-0.8861538461538462,8,-576
651,-0.8863287250384024,6,-577
652,-0.8865030674846626,6,-578
653,-0.886676875957121,58,-579
654,-0.8853211009174312,100,-579
655,-0.8854961832061069,97,-580
656,-0.8841463414634146,100,-580
657,-0.882800608828006,100,-580
658,-0.8829787234042553,85,-581
659,-0.881638846737481,100,-581
660,-0.8818181818181818,26,-582
661,-0.8804841149773072,100,-582
662,-0.8806646525679759,2,-583
663,-0.8808446455505279,61,-584
664,-0.8795180722891566,100,-584
665,-0.8781954887218045,100,-584
666,-0.8783783783783784,81,-585
667,-0.8785607196401799,79,-586
668,-0.8787425149700598,1,-587
669,-0.8789237668161435,33,-588
670,-0.8791044776119403,35,-589
671,-0.879284649776453,36,-590
672,-0.8779761904761905,100,-590
