Episode,Avg Reward,Steps,Total Reward
353,-0.9348441926345609,29,-330
354,-0.9350282485875706,18,-331
355,-0.9295774647887324,38,-330
356,-0.9297752808988764,79,-331
357,-0.9299719887955182,7,-332
358,-0.9245810055865922,76,-331
359,-0.9220055710306406,100,-331
360,-0.9166666666666666,52,-330
361,-0.9168975069252078,62,-331
362,-0.9171270718232044,6,-332
363,-0.9173553719008265,1,-333
364,-0.9175824175824175,17,-334
365,-0.9123287671232877,31,-333
366,-0.912568306010929,7,-334
367,-0.9128065395095368,51,-335
368,-0.907608695652174,61,-334
369,-0.9024390243902439,31,-333
370,-0.8972972972972973,31,-332
371,-0.8975741239892183,16,-333
372,-0.8978494623655914,10,-334
373,-0.8981233243967829,14,-335
374,-0.8983957219251337,3,-336
375,-0.8986666666666666,36,-337
376,-0.8936170212765957,57,-336
377,-0.8938992042440318,9,-337
378,-0.8941798941798942,59,-338
379,-0.8944591029023746,12,-339
380,-0.8947368421052632,76,-340
381,-0.89501312335958,38,-341
382,-0.8952879581151832,68,-342
383,-0.8955613577023499,5,-343
384,-0.8958333333333334,23,-344
385,-0.8961038961038961,2,-345
386,-0.8963730569948186,1,-346
387,-0.896640826873385,22,-347
388,-0.8969072164948454,49,-348
389,-0.897172236503856,4,-349
390,-0.8974358974358975,54,-350
391,-0.8976982097186701,38,-351
392,-0.8979591836734694,1,-352
393,-0.8982188295165394,49,-353
394,-0.8984771573604061,28,-354
395,-0.8987341772151899,1,-355
396,-0.898989898989899,4,-356
397,-0.8942065491183879,53,-355
398,-0.8944723618090452,23,-356
399,-0.8922305764411027,100,-356
400,-0.8925,14,-357
401,-0.8927680798004988,9,-358
402,-0.8930348258706468,11,-359
403,-0.8933002481389578,11,-360
404,-0.8935643564356436,1,-361
405,-0.891358024691358,100,-361
406,-0.8916256157635468,33,-362
407,-0.8918918918918919,1,-363
408,-0.8921568627450981,91,-364
409,-0.8924205378973105,41,-365
410,-0.8926829268292683,37,-366
411,-0.8929440389294404,72,-367
412,-0.8932038834951457,2,-368
413,-0.8934624697336562,77,-369
414,-0.893719806763285,10,-370
415,-0.8939759036144578,20,-371
416,-0.8942307692307693,16,-372
417,-0.894484412470024,41,-373
418,-0.8947368421052632,79,-374
419,-0.8949880668257757,38,-375
420,-0.8952380952380953,56,-376
421,-0.8954869358669834,44,-377
422,-0.8957345971563981,9,-378
423,-0.8936170212765957,100,-378
424,-0.8938679245283019,30,-379
425,-0.8917647058823529,100,-379
426,-0.892018779342723,11,-380
427,-0.892271662763466,17,-381
428,-0.8925233644859814,6,-382
429,-0.8927738927738927,54,-383
430,-0.8930232558139535,13,-384
431,-0.8932714617169374,15,-385
432,-0.8935185185185185,46,-386
433,-0.8937644341801386,20,-387
